sign_code;description;category;filename;explanation
151;Militer aktivitet;fare;fare/fareskilt_militaer_aktivitet.gif;Dette skiltet varsler om at det kan foregå militær øvelse eller aktivitet i området. Vær forberedt på militære kjøretøy, soldater eller uventet aktivitet på veien.
100.1;Farlig Sving Høyre;fare;fare/sf200510071219100101_gif.gif;Varselet betyr at det kommer en skarp sving mot høyre. Senk farten og vær oppmerksom på veigrepet.
100.2;Farlig Sving Venstre;fare;fare/sf200510071219100201_gif.gif;Varselet betyr at det kommer en skarp sving mot Venstre. Senk farten og vær oppmerksom på veigrepet.
102.1;Farlige Svinger Høgre;fare;fare/sf200510071219102101_gif.gif;Her er det flere svinger etter hverandre, den første mot høyre. Konstruksjonen av veien kan være krevende, og du må ha lav fart og god kontroll.
102.2;Farlige Svinger Venstre;fare;fare/sf200510071219102201_gif.gif;Flere svinger i rekkefølge, med første mot venstre. Reduser farten og vær forberedt på uoversiktlige partier.
104.1;Bratt Bakke Opp;fare;fare/sf200510071219104101_gif.gif;Skiltet viser at det kommer en bratt stigning. Biler med svak motor må kanskje gå i lavt gir. Vær også oppmerksom på biler foran som kan miste fart.
104.2;Bratt Bakke Ned;fare;fare/sf200510071219104201_gif.gif;Skiltet varsler om en bratt nedoverbakke – vær forberedt på økt bremselengde.
106.1;Smalere Veg Begge;fare;fare/sf200510071219106101_gif.gif;Kjørebane blir smalere på begge sider – møtende trafikk må tas hensyn til.
106.2;Smalere Veg Fra Høgre;fare;fare/sf200510071219106201_gif.gif;Kjørebane blir smalere fra høyre side. Vær oppmerksom på møtende trafikk.
106.3;Smalere Veg Fra Venstre;fare;fare/sf200510071219106301_gif.gif;Kjørebane blir smalere fra venstre side. Vær forberedt på mindre plass.
108;Ujevn Veg;fare;fare/sf20051007121910801_gif.gif;Veibanen har ujevnheter som hull eller dumper. Kjør forsiktig.
109;Fartshump;fare;fare/sf20051007121910901_gif.gif;Skiltet varsler om fartshump – reduser hastigheten.
110;Vegarbeid;fare;fare/sf20051007121911001_gif.gif;Det pågår arbeid i eller nær veibanen – vis særlig aktsomhet.
112;Steinsprut;fare;fare/sf20051007121911201_gif.gif;Fare for steinsprut, ofte på grunn av løst dekke eller fjell.
114;Rasfare;fare;fare/sf20051007121911401_gif.gif;Område med fare for stein- eller jordras – vær ekstra varsom.
116;Glatt Kjørebane;fare;fare/sf20051007121911601_gif.gif;Fare for glatt kjørebane – kan skyldes is, olje eller annet underlag.
117;Farlig Vegskulder;fare;fare/sf20051007121911701_gif.gif;Skulderen på veien er svak eller lav – risiko ved utforkjøring eller møting.
118;Bevegelig Bru;fare;fare/sf20051007121911801_gif.gif;Varsler om bru som kan åpnes/løftes – stans og vent kan være nødvendig.
120;Kai, Strand, Ferjeleie;fare;fare/sf20051007121912001_gif.gif;Fare for å kjøre i vannet – området leder mot kai, strand eller ferje.
122;Tunnel;fare;fare/sf20051007121912201_gif.gif;Inngang til tunnel – vær oppmerksom på lysforhold og nødutganger.
124;Farlig Vegkryss;fare;fare/sf20051007121912401_gif.gif;Kryss med nedsatt sikt eller høy ulykkesrisiko – reduser farten.
126;Rundkjøring;fare;fare/sf20051007121912601_gif.gif;Du nærmer deg en rundkjøring – gi tegn og vikeplikt ved innkjøring.
132;Trafikklyssignal;fare;fare/sf20051007121913201_gif.gif;Kryss eller punkt regulert med trafikklys – vær klar for stans.
134;Planovergang Med Bom;fare;fare/sf20051007121913401_gif.gif;Jernbaneovergang med bom – stans ved rødt lys eller lukket bom.
135;Planovergang Uten Bom;fare;fare/sf20051007121913501_gif.gif;Jernbaneovergang uten bom – ekstra oppmerksomhet nødvendig.
136.1;Avstandsskilt 300 meter;fare;fare/sf200510071219136101_gif.gif;Skiltet varsler at det kommer et farlig punkt om 300 meter.
136.2;Avstandsskilt 200 meter;fare;fare/sf200510071219136201_gif.gif;Farlig punkt kommer om 200 meter – forberede deg på handling.
136.3;Avstandsskilt 100 meter;fare;fare/sf200510071219136301_gif.gif;Farlig punkt kommer om 100 meter – vær oppmerksom.
138.1;Jernbarnespor Enkeltsporet;fare;fare/sf200510071219138101_gif.gif;Enkelt jernbanespor krysser veien – stans ved behov.
138.2;Jernbarnespor Flersporet;fare;fare/sf200510071219138201_gif.gif;Flere jernbanespor krysser veien – vær ekstra oppmerksom.
139;Sporvogn;fare;fare/sf20051007121913901_gif.gif;Vei krysset eller delt med sporvogn – fare for kryssende trafikk.
140;Avstand Til Gangfelt;fare;fare/sf20051007121914001_gif.gif;Gangfelt nærmer seg – vis hensyn til fotgjengere.
142;Barn;fare;fare/sf20051007121914201_gif.gif;Barn kan komme plutselig ut i veien – typisk nær skole eller lekeområde.
144;Syklende;fare;fare/sf20051007121914401_gif.gif;Syklister i området – vær varsom ved forbikjøring.
146.1;Elg;fare;fare/sf200510071219146101_gif.gif;Fareskilt som varsler om elgfare – vanlig i skogsområder. Reduser farten og vær oppmerksom, spesielt ved skumring.
146.2;Rein;fare;fare/sf200510071219146201_gif.gif;Fareskilt for rein – ofte brukt på fjellet eller i nordlige strøk. Reinen går ofte i flokker.
146.3;Hjort;fare;fare/sf200510071219146301_gif.gif;Varsler om fare for hjortekollisjoner. Hjorten kan komme løpende brått ut fra skog eller skråning.
146.4;Ku;fare;fare/sf200510071219146401_gif.gif;Fare for at kyr kan være på eller ved veien – vanlig nær beitemark.
146.5;sauer og Lam;fare;fare/sf200510071219146501_gif.gif;Fare for lam og sau i veibanen – kjør forsiktig.
148;Møtende Trafikk;fare;fare/sf20051007121914801_gif.gif;Fareskilt for sau – typisk brukt i fjellområder eller beiteområder med løsdrift.
149;Ko;fare;fare/sf20051007121914901_gif.gif;Varsler om fare for stillestående eller saktegående trafikk – typisk ved stor trafikkmengde, rushtid eller ulykker.
150;Fly;fare;fare/sf20051007121915001_gif.gif;Lavtgående fly i området – særlig ved rullebaner nær veien.
152;Sidevind;fare;fare/sf20051007121915201_gif.gif;Fare for sterk sidevind – risiko for å miste kontroll over kjøretøyet.
153;Trafikkulykke;fare;fare/sf20051007121915301_gif.gif;Utsatt punkt for trafikkulykker – vær ekstra aktpågivende.
154;Skiløpere;fare;fare/sf20051007121915401_gif.gif;Kryssende skiløype – reduser farten og se etter skiløpere.
155;Ridende;fare;fare/sf20051007121915501_gif.gif;Kryssende ridesti – fare for hest og rytter i eller ved veien.
156;Annen fare;fare;fare/sf20051007121915601_gif.gif;Skiltet brukes når faren ikke dekkes av andre fareskilt – se etter supplerende informasjon.
302;Innkjoring Forbudt;forbuds;forbuds/sf20051007121930201_gif.gif;Det er ikke tillatt å kjøre inn i veien fra denne retningen.
